KPI ID,timestamp,alpha01EWMA,alpha03EWMA,alpha05EWMA,alpha07EWMA,alpha09EWMA
046ec29ddf80d62e,1469376000,0.832818391,0.832818391,0.832818391,0.832818391,0.832818391
046ec29ddf80d62e,1469376300,0.832818391,0.832818391,0.832818391,0.832818391,0.832818391
046ec29ddf80d62e,1469376600,0.7452078910000001,0.569986891,0.394765891,0.219544891,0.044323891000000004
046ec29ddf80d62e,1469376900,0.6773097535,0.4188587785,0.2304962035,0.11222202849999999,0.0640362535
046ec29ddf80d62e,1469377200,0.6381040547500001,0.37877697474999994,0.25787448474999997,0.23334354475,0.26313111475
046ec29ddf80d62e,1469377500,0.5809163008750001,0.2850118371249999,0.162050500375,0.11636162462499999,0.085916975875
046ec29ddf80d62e,1469377800,0.5403986348875002,0.25223017828749994,0.16889507068749998,0.1579262360875,0.1667573744875
046ec29ddf80d62e,1469378100,0.49298142299875014,0.19642907960124995,0.11756079334375,0.09373643202625,0.07627960184875
046ec29ddf80d62e,1469378400,0.4503059322988751,0.15736831052087497,0.09189365467187499,0.074479490807875,0.067231824584875
046ec29ddf80d62e,1469378700,0.4118979906689876,0.13002577216461247,0.0790600853359375,0.0687024084423625,0.0663270468584875
046ec29ddf80d62e,1469379000,0.3773308432020888,0.11088599531522873,0.07264330066796876,0.06696928373270875,0.06623656908584875
046ec29ddf80d62e,1469379300,0.3352690979818799,0.06463421402066011,0.01467834583398438,-0.010209841180187373,-0.03233429119141512
046ec29ddf80d62e,1469379600,0.3193161522836919,0.09796584211446208,0.0952089934169922,0.11995479634594379,0.15493224778085848
046ec29ddf80d62e,1469379900,0.2940071886553227,0.08844404428012345,0.0807177547084961,0.08234500010378312,0.07509708917808584
046ec29ddf80d62e,1469380200,0.27122912138979044,0.08177878579608641,0.07347213535424804,0.07106206123113493,0.06711357331780858
046ec29ddf80d62e,1469380500,0.21787492335081138,-0.021448707642739512,-0.09442036182287598,-0.16230038293065951,-0.22937021576821917
046ec29ddf80d62e,1469380800,0.18080745761573025,-0.06085401554991765,-0.12361004791143798,-0.15564992867919783,-0.1604567821768219
046ec29ddf80d62e,1469381100,0.12554411345415722,-0.15414560608494235,-0.247718015955719,-0.30697316740375935,-0.3506890638176822
046ec29ddf80d62e,1469381400,0.0758071037087415,-0.21944971945945962,-0.3097719999778595,-0.3523701390211278,-0.36971229198176825
046ec29ddf80d62e,1469381700,0.04199510743786736,-0.2323086613216217,-0.2860424294889298,-0.28933004300633836,-0.27305280229817686
046ec29ddf80d62e,1469382000,-0.01033831420591938,-0.30701779562513515,-0.3836907692444649,-0.4237363892019015,-0.46051047832981773
046ec29ddf80d62e,1469382300,-0.03553576868532744,-0.29360631463759457,-0.32300181412223244,-0.31073991806057044,-0.2821326209329818
046ec29ddf80d62e,1469382600,-0.0801161027167947,-0.3499261529463161,-0.40217046156111624,-0.4301593517181711,-0.4614184601932982
046ec29ddf80d62e,1469382900,-0.10928709084511523,-0.35649610226242123,-0.3869982227805581,-0.38932599431545134,-0.3807852316193298
046ec29ddf80d62e,1469383200,-0.12458966766060371,-0.32824112928369487,-0.32465554089027904,-0.3004167995946354,-0.274160096261933
046ec29ddf80d62e,1469383500,-0.16026461179454335,-0.37417052319858635,-0.4029973249451395,-0.4270624161783906,-0.4606212077261933
046ec29ddf80d62e,1469383800,-0.20332337401508901,-0.4391750364390104,-0.49692477947256974,-0.5417152886535171,-0.5778291313726193
046ec29ddf80d62e,1469384100,-0.24207626001358012,-0.48467819570730725,-0.5438885067362849,-0.5761111503960551,-0.5895499237372619
046ec29ddf80d62e,1469384400,-0.28790516991222215,-0.5493843446951151,-0.6221269328681425,-0.6630890964188165,-0.6892838154737262
046ec29ddf80d62e,1469384700,-0.34010250132099995,-0.6275325864865806,-0.7160027084340712,-0.765841667725645,-0.7978190171473727
046ec29ddf80d62e,1469385000,-0.3761287870889,-0.6493824182406064,-0.7081840337170356,-0.7200082516176936,-0.7101107248147374
046ec29ddf80d62e,1469385300,-0.40855244428001003,-0.6646773004684244,-0.7042746963585178,-0.7062582267853081,-0.7013398955814738
046ec29ddf80d62e,1469385600,-0.44868504825200906,-0.7082376555278971,-0.7570765901792589,-0.7787924068355925,-0.7990246251581475
046ec29ddf80d62e,1469385900,-0.49575570432680816,-0.771583841569528,-0.8382340995896295,-0.8772118483506777,-0.9073549106158149
046ec29ddf80d62e,1469386200,-0.5271679822941273,-0.7830722342986696,-0.8240562917948148,-0.8300784933052032,-0.8196261266615816
046ec29ddf80d62e,1469386500,-0.5663903449647146,-0.8239680467090686,-0.8717239503974075,-0.8925976742915609,-0.9094150607661582
046ec29ddf80d62e,1469386800,-0.6016904713682432,-0.852595115396348,-0.8955577796987038,-0.9113534285874683,-0.918393954176616
046ec29ddf80d62e,1469387100,-0.622509272631419,-0.8397801259774436,-0.852718131849352,-0.8403209673762404,-0.8207300310176617
046ec29ddf80d62e,1469387400,-0.6631488187682771,-0.8965175083842105,-0.9408114329246761,-0.9723296040128722,-1.0080872637017664
046ec29ddf80d62e,1469387700,-0.7106757227914495,-0.9690876135689472,-1.039614645962338,-1.0885913825038616,-1.1253847994701767
046ec29ddf80d62e,1469388000,-0.7644012489123045,-1.052740624698263,-1.143772814981169,-1.2001291035511583,-1.2356763655470178
046ec29ddf80d62e,1469388300,-0.7908515974210741,-1.045589857488784,-1.0863387744905846,-1.0802720448653476,-1.049581897154702
046ec29ddf80d62e,1469388600,-0.8146569110789668,-1.0405843204421488,-1.0576217542452924,-1.0443149272596044,-1.0309724503154702
046ec29ddf80d62e,1469388900,-0.8470330058710701,-1.069934382009504,-1.0980198066226463,-1.1101869794778814,-1.127673318131547
046ec29ddf80d62e,1469389200,-0.8761714911839632,-1.0904794251066527,-1.1182188328113232,-1.1299485951433643,-1.1373434049131548
046ec29ddf80d62e,1469389500,-0.9023961279655669,-1.1048609552746569,-1.1283183459056616,-1.1358770798430093,-1.1383104135913156
046ec29ddf80d62e,1469389800,-0.9369496135690102,-1.1477819638922597,-1.1881246649528308,-1.2143148127529027,-1.2369689269591315
046ec29ddf80d62e,1469390100,-0.9680477506121091,-1.1778266699245816,-1.2180278244764153,-1.2378461326258707,-1.2468347782959133
046ec29ddf80d62e,1469390400,-0.9960360739508982,-1.198857964147207,-1.2329794042382076,-1.244905528587761,-1.2478213634295914
046ec29ddf80d62e,1469390700,-0.9883716274558084,-1.1150180576030448,-1.0761855066191037,-1.0170457848763284,-0.9522345844429592
046ec29ddf80d62e,1469391000,-1.0143275631102275,-1.1548919355221312,-1.1620582453095518,-1.1786654242628984,-1.218361344044296
046ec29ddf80d62e,1469391300,-1.0376879051992047,-1.1828036500654917,-1.2049946146547759,-1.2271513160788694,-1.2449740200044297
046ec29ddf80d62e,1469391600,-1.0696635255792843,-1.2351957877458442,-1.281219361827388,-1.3183562711236607,-1.3461971001004431
046ec29ddf80d62e,1469391900,-1.087490271421356,-1.239016346622091,-1.2645751729136938,-1.2690585701370982,-1.2577575956100444
046ec29ddf80d62e,1469392200,-1.1144856551792204,-1.2745446753354637,-1.311009640956847,-1.3309284473411294,-1.3474754576610046
046ec29ddf80d62e,1469392500,-1.1278301880612984,-1.2665605679348244,-1.2794703124784235,-1.2728302230023387,-1.2578854313661005
046ec29ddf80d62e,1469392800,-1.1398402676551687,-1.260971692754377,-1.2637006482392117,-1.2554007557007014,-1.2489264287366102
046ec29ddf80d62e,1469393100,-1.161600651789652,-1.289913417628064,-1.310572378619606,-1.3268311030102102,-1.346592340973661
046ec29ddf80d62e,1469393400,-1.170233685010687,-1.2773186875396447,-1.279251681309803,-1.271601019703063,-1.257797119697366
046ec29ddf80d62e,1469393700,-1.1780034149096184,-1.2685023764777512,-1.2635913326549013,-1.2550319947109188,-1.2489175975697366
046ec29ddf80d62e,1469394000,-1.2068987968186564,-1.3280388337344258,-1.3652742833274507,-1.4033796622132757,-1.4451532703569738
046ec29ddf80d62e,1469394300,-1.2110020155367909,-1.304006478814098,-1.3066026336637253,-1.2945655874639825,-1.2676532126356974
046ec29ddf80d62e,1469394600,-1.225646224883112,-1.3200377678698685,-1.3320233713318625,-1.3385805525391947,-1.3484650193635699
046ec29ddf80d62e,1469394900,-1.2388260132948008,-1.331259670208908,-1.3447337401659314,-1.3517850420617583,-1.356546200036357
046ec29ddf80d62e,1469395200,-1.2506878228653209,-1.3391150018462354,-1.3510889245829656,-1.3557463889185275,-1.3573543181036358
046ec29ddf80d62e,1469395500,-1.2613634514787888,-1.3446137339923647,-1.354266516791483,-1.3569347929755582,-1.3574351299103637
